"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,60.889637,-476.915818
10.775193,57.270364,-472.809314
11.550386,53.113764,-465.032441
12.325579,49.895747,-453.007793
13.100772,46.635149,-436.051988
13.875965,44.129998,-421.118287
14.651158,42.234576,-403.830637
15.426351,40.433936,-385.702383
16.201544,40.692944,-369.547797
16.976737,41.025365,-354.481869
17.751930,40.162051,-339.980199
18.527123,39.712586,-324.998819
19.302316,38.877104,-312.408391
20.077509,37.809131,-300.037147
20.852702,35.242550,-287.025205
21.627895,32.949665,-274.320707
22.403088,31.668155,-262.432349
23.178281,30.908254,-250.996795
23.953474,30.228896,-240.525982
24.728667,29.739780,-230.127105
25.503860,29.827242,-220.050271
26.279053,30.893313,-210.547235
27.054246,31.540716,-201.228550
27.829439,33.348618,-192.172593
28.604632,35.598349,-183.841583
29.379825,38.863499,-176.709184
30.155018,42.104830,-170.424709
30.930211,45.346398,-166.003379
31.705404,46.042211,-158.313659
32.480597,49.588848,-154.098150
33.255790,52.807834,-151.043627
34.030983,55.384501,-148.460718
34.806176,57.556196,-146.073046
35.581369,59.150696,-143.351416
36.356562,61.023914,-140.999303
37.131755,62.958878,-137.933292
37.906948,64.788001,-135.857504
38.682141,67.474301,-133.395263
39.457334,69.233898,-132.707696
40.232527,71.901735,-131.853307
41.007720,72.844780,-132.802633
41.782913,73.048927,-134.241575
42.558106,70.396470,-135.184690
43.333299,67.200401,-134.086883
44.108492,63.881167,-130.128591
44.883685,63.050264,-124.981175
45.658878,63.871106,-118.725323
46.434071,67.086111,-113.350849
47.209264,72.359844,-110.185891
47.984457,76.858427,-109.809017
48.759650,79.496057,-110.813157
49.534843,80.949264,-107.734484
50.310036,83.960871,-106.026141
51.085229,87.527232,-104.280217
51.860422,91.928609,-105.012259
52.635615,95.674261,-107.521502
53.410808,98.147733,-112.421598
54.186001,100.062134,-117.762002
54.961194,93.867305,-119.593772
55.736387,88.839083,-119.948692
56.511580,84.890200,-119.692323
57.286773,82.935278,-118.387966
58.061966,81.718241,-117.827089
58.837159,81.888166,-116.895186
59.612352,82.247133,-117.193584
60.387545,83.782249,-118.347886
61.162738,83.564364,-120.345390
61.937931,84.133408,-123.127198
62.713124,83.566405,-126.217388
63.488317,82.961779,-129.681003
64.263510,80.956888,-132.813791
65.038703,78.169919,-136.375729
65.813896,75.069916,-138.245700
66.589089,70.950394,-139.917558
67.364282,66.792342,-141.305617
68.139475,61.877655,-141.856576
68.914668,57.263080,-141.751097
69.689861,52.873700,-140.957687
70.465054,48.928837,-139.498155
71.240247,45.461743,-137.425494
72.015440,42.573364,-135.274332
72.790633,40.417194,-132.939931
73.565826,38.573921,-130.459801
74.341019,37.165979,-128.062818
75.116212,35.692655,-125.627846
75.891405,34.873008,-123.825915
76.666598,34.038673,-122.194852
77.441791,33.286189,-120.799106
78.216984,31.922068,-119.731936
78.992177,31.086009,-118.358717
79.767370,30.165535,-116.971461
80.542563,29.166001,-115.722133
81.317756,28.104655,-113.963016
82.092949,27.124411,-112.479676
82.868142,26.067860,-111.015693
83.643335,25.379348,-109.784647
84.418528,24.249852,-108.240315
85.193721,23.319430,-106.574963
85.968914,22.439176,-104.834134
86.744107,21.679189,-103.394282
87.519300,20.853746,-101.713983
88.294493,19.988713,-100.212417
89.069686,19.366793,-98.333961
89.844879,18.763646,-96.857250
90.620072,18.274358,-95.164312
91.395265,17.799185,-93.453189
92.170458,17.376053,-91.749382
92.945651,17.119087,-89.989263
93.720844,16.820525,-88.090718
94.496037,16.359744,-86.285540
95.271230,16.231653,-84.595680
96.046423,15.978232,-82.857549
96.821616,15.952204,-81.014718
97.596809,15.919066,-79.180059
98.372002,15.955370,-77.399286
99.147195,15.966921,-75.489588
99.922388,16.117943,-73.509810
100.697581,16.374218,-71.618021
101.472774,16.723604,-69.841918
102.247967,17.109723,-67.990172
103.023160,17.618104,-66.006210
103.798353,18.371041,-63.999623
104.573546,19.245436,-62.044642
105.348739,20.348596,-60.404130
106.123932,21.606210,-59.040932
106.899125,22.785237,-58.195630
107.674318,23.748145,-57.620345
108.449511,24.387701,-57.173156
109.224704,24.800994,-56.642523
109.999897,24.998099,-55.796982
110.775090,25.177181,-54.710518
111.550283,25.498726,-53.320791
112.325476,25.968145,-51.807300
113.100669,26.560798,-50.061739
113.875862,27.457577,-48.359952
114.651055,28.756154,-46.612980
115.426248,30.290102,-45.113783
116.201441,32.277802,-43.880835
116.976634,34.474951,-43.233112
117.751827,36.739245,-42.918400
118.527020,38.710420,-43.098076
119.302213,40.509929,-43.675908
120.077406,41.793384,-44.173253
120.852599,43.054599,-44.790373
121.627792,44.280250,-44.938704
122.402985,45.870633,-45.253886
123.178178,47.428156,-45.557065
123.953371,49.322277,-46.460561
124.728564,51.009282,-47.599121
125.503757,52.752308,-49.519522
126.278950,54.076775,-51.650041
127.054143,54.865671,-54.528297
127.829336,55.227862,-57.220039
128.604529,55.141673,-60.144261
129.379722,54.736564,-62.847632
130.154915,53.599126,-65.637801
130.930108,52.112527,-67.652404
131.705301,50.219931,-69.372047
132.480494,48.199811,-70.263602
133.255687,46.290919,-70.856770
134.030880,44.885968,-70.976498
134.806073,43.762476,-71.202582
135.581266,43.009670,-71.450834
136.356459,41.864097,-72.031858
137.131652,40.757193,-73.002619
137.906845,39.183603,-73.962070
138.682038,37.611743,-74.644394
139.457231,35.401197,-74.937449
140.232424,33.469325,-75.002044
141.007617,31.349643,-74.694248
141.782810,29.477175,-73.940183
142.558003,27.656227,-72.913570
143.333196,26.033331,-71.747012
144.108389,24.431828,-70.426632
144.883582,23.182601,-69.021723
145.658775,21.908774,-67.275567
146.433968,20.930687,-65.491328
147.209161,20.072040,-63.635108
147.984354,19.454049,-61.689189
148.759547,19.020072,-59.642729
149.534740,18.882704,-57.594642
150.309933,18.841174,-55.538052
151.085126,19.120334,-53.572100
151.860319,19.494848,-51.755874
152.635512,20.095496,-49.923442
153.410705,20.836517,-48.074590
154.185898,21.987470,-46.351599
154.961091,23.465734,-44.839256
155.736284,25.423789,-43.784688
156.511477,27.338027,-43.319301
157.286670,29.521002,-43.506408
158.061863,31.425639,-44.478450
158.837056,32.964420,-46.090275
159.612249,33.874050,-47.967276
160.387442,34.318470,-49.751199
161.162635,34.457786,-51.432246
161.937828,34.104844,-52.945126
162.713021,33.503844,-54.194492
163.488214,32.878699,-55.292977
164.263407,32.063302,-56.227451
165.038600,31.064524,-56.901469
165.813793,29.959290,-57.342885
166.588986,28.946756,-57.641587
167.364179,27.842150,-57.807684
168.139372,26.895116,-57.945298
168.914565,25.847759,-57.810718
169.689758,24.865631,-57.704484
170.464951,23.979157,-57.459078
171.240144,23.117473,-57.096553
172.015337,22.376378,-56.723222
172.790530,21.646685,-56.410974
173.565723,20.947415,-55.981864
174.340916,20.268373,-55.425597
175.116109,19.668626,-54.992153
175.891302,19.016115,-54.656139
176.666495,18.278755,-54.126072
177.441688,17.718741,-53.614241
178.216881,17.160291,-53.041068
178.992074,16.651650,-52.426283
179.767267,16.135535,-51.887523
180.542460,15.712577,-51.232287
181.317653,15.197404,-50.708104
182.092846,14.748928,-50.143662
182.868039,14.293598,-49.556774
183.643232,13.901736,-48.817412
184.418425,13.503531,-48.180091
185.193618,13.293628,-47.502649
185.968811,13.054184,-46.960965
186.744004,12.738532,-46.369073
187.519197,12.469595,-45.748476
188.294390,12.246449,-45.171763
189.069583,11.952786,-44.601569
189.844776,11.733066,-43.989338
190.619969,11.550956,-43.358137
191.395162,11.364928,-42.767598
192.170355,11.235423,-42.272246
192.945548,11.056580,-41.686364
193.720741,10.936388,-41.083693
194.495934,10.870189,-40.534435
195.271127,10.724728,-39.907277
196.046320,10.596242,-39.324715
196.821513,10.443316,-38.760214
197.596706,10.382623,-38.297551
198.371899,10.305148,-37.787912
199.147092,10.275994,-37.251462
199.922285,10.192517,-36.776298
200.697478,10.171655,-36.292737
201.472671,10.092794,-35.848252
202.247864,10.102853,-35.361475
203.023057,10.093313,-34.839668
203.798250,10.121143,-34.330700
204.573443,10.203828,-33.933724
205.348636,10.203854,-33.511675
206.123829,10.197282,-33.107946
206.899022,10.210195,-32.690382
207.674215,10.132939,-32.335209
208.449408,10.160522,-31.918155
209.224601,10.087321,-31.611747
210.000000,10.087321,-31.611747
