"Zplots Generated Data"
"Freq(MHz)","Rs","Xs"
10.000000,54.130738,-394.491996
10.775193,50.397454,-389.236272
11.550386,46.877937,-380.894125
12.325579,45.254366,-369.793711
13.100772,43.254480,-357.269824
13.875965,42.917846,-343.737076
14.651158,40.641299,-329.965332
15.426351,39.560244,-315.485542
16.201544,39.359808,-300.831725
16.976737,38.409733,-286.505763
17.751930,38.944692,-273.252168
18.527123,40.217826,-260.263693
19.302316,42.212158,-249.256423
20.077509,43.677343,-239.824652
20.852702,42.988015,-231.481317
21.627895,42.184223,-223.484352
22.403088,40.832854,-214.891533
23.178281,39.616871,-207.009362
23.953474,38.698810,-199.276412
24.728667,37.832907,-191.129043
25.503860,37.003163,-183.604690
26.279053,36.894661,-176.511633
27.054246,36.545577,-169.438911
27.829439,36.084954,-162.531234
28.604632,36.568040,-155.798319
29.379825,36.951346,-149.275642
30.155018,37.362971,-143.001480
30.930211,37.478284,-136.803264
31.705404,38.273297,-130.942138
32.480597,38.945566,-124.953689
33.255790,39.571327,-119.384679
34.030983,40.417891,-113.093657
34.806176,41.447551,-107.279052
35.581369,43.172518,-100.950600
36.356562,44.849187,-94.998078
37.131755,47.107637,-89.239226
37.906948,49.506285,-83.916418
38.682141,52.462577,-78.310742
39.457334,55.267063,-73.156118
40.232527,58.849184,-67.399680
41.007720,62.750606,-62.104844
41.782913,68.361383,-56.927037
42.558106,73.962161,-52.855474
43.333299,81.433879,-50.726972
44.108492,88.288324,-49.667543
44.883685,95.440685,-51.128151
45.658878,100.001441,-54.196655
46.434071,103.575061,-58.169378
47.209264,104.900373,-61.328618
47.984457,105.844120,-65.148477
48.759650,104.431859,-67.327860
49.534843,103.238846,-69.759432
50.310036,101.221209,-68.731479
51.085229,99.133459,-67.915196
51.860422,98.171998,-63.971531
52.635615,97.511780,-61.124883
53.410808,99.785468,-55.630544
54.186001,102.074136,-51.895447
54.961194,108.907750,-46.762214
55.736387,114.588364,-44.469003
56.511580,124.324404,-44.383353
57.286773,132.102817,-46.406936
58.061966,140.701805,-52.259726
58.837159,146.659100,-59.343340
59.612352,151.354081,-68.655876
60.387545,153.724167,-76.807444
61.162738,154.654898,-86.311218
61.937931,152.981512,-94.137348
62.713124,150.750398,-101.766394
63.488317,147.726481,-107.705713
64.263510,148.740796,-153.795125
65.038703,137.725323,-158.931017
65.813896,127.691766,-161.027042
66.589089,118.651112,-162.243500
67.364282,109.919016,-161.270966
68.139475,102.829050,-159.539153
68.914668,96.199778,-157.271657
69.689861,91.731305,-154.675566
70.465054,86.798962,-151.457756
71.240247,83.750205,-149.165749
72.015440,80.855841,-144.745602
72.790633,80.074897,-143.442935
73.565826,79.599671,-140.777908
74.341019,78.651487,-141.844183
75.116212,79.425244,-141.552345
75.891405,75.951902,-143.817614
76.666598,74.124013,-145.116455
77.441791,70.171571,-146.217288
78.216984,67.445124,-147.402153
78.992177,62.528384,-146.819718
79.767370,58.859265,-146.886552
80.542563,54.605125,-145.570545
81.317756,51.370208,-144.088821
82.092949,47.433795,-142.323361
82.868142,44.046478,-140.939707
83.643335,40.927992,-138.489895
84.418528,38.174114,-136.192973
85.193721,35.344911,-133.685582
85.968914,32.750869,-131.502697
86.744107,30.414684,-128.740095
87.519300,28.274959,-125.916980
88.294493,26.523405,-122.779907
89.069686,24.975268,-120.014433
89.844879,23.838966,-117.071935
90.620072,22.924184,-114.308782
91.395265,22.138586,-111.286970
92.170458,21.320622,-108.600007
92.945651,20.715681,-105.853745
93.720844,20.551421,-103.437140
94.496037,20.171789,-100.814899
95.271230,19.977391,-98.502851
96.046423,19.776055,-96.049398
96.821616,19.848898,-93.881277
97.596809,19.749313,-91.482252
98.372002,19.904349,-89.284224
99.147195,19.832090,-86.584413
99.922388,20.079428,-84.363594
100.697581,20.390310,-81.708946
101.472774,20.701599,-79.524064
102.247967,21.048831,-76.856098
103.023160,21.373171,-74.354843
103.798353,22.123850,-71.404240
104.573546,22.786707,-68.652208
105.348739,24.182431,-65.148476
106.123932,25.731726,-61.978127
106.899125,28.298157,-58.155527
107.674318,31.293205,-55.038738
108.449511,36.201014,-52.210002
109.224704,41.658858,-51.110838
109.999897,48.184436,-52.310683
110.775090,53.480534,-56.039620
111.550283,57.012885,-61.895892
112.325476,58.353335,-68.216672
113.100669,57.426332,-73.816939
113.875862,55.286013,-78.134636
114.651055,52.308684,-81.208540
115.426248,49.186927,-83.152891
116.201441,46.089452,-84.124769
116.976634,43.398960,-84.352435
117.751827,40.948440,-84.002051
118.527020,38.715222,-83.003737
119.302213,36.993715,-81.602804
120.077406,35.774777,-79.858406
120.852599,35.092907,-78.006267
121.627792,35.110517,-76.374433
122.402985,35.487818,-75.167018
123.178178,35.912257,-74.366250
123.953371,36.194107,-74.318766
124.728564,36.082479,-74.390097
125.503757,35.871018,-74.529512
126.278950,35.220918,-74.639955
127.054143,34.706649,-74.679104
127.829336,33.796826,-74.116346
128.604529,33.147449,-73.489983
129.379722,32.803506,-72.786905
130.154915,32.811241,-72.097705
130.930108,32.896457,-71.757352
131.705301,33.119017,-71.776921
132.480494,33.042418,-72.171798
133.255687,32.844466,-72.678109
134.030880,32.472652,-73.009088
134.806073,31.928022,-73.370896
135.581266,31.228092,-73.648873
136.356459,30.226631,-73.759073
137.131652,29.209636,-73.670890
137.906845,28.190501,-73.560564
138.682038,27.194554,-73.449472
139.457231,26.121583,-73.135722
140.232424,25.057744,-72.712249
